text,sentiment,gemini,compgemini,gpt,compgpt,deepseek,compdeepseek,mistral,compmistral
Last session of the day  http://twitpic.com/67ezh,neutral,neutral,TRUE,neutral,TRUE,neutral,TRUE,neutral,TRUE
Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,positive,TRUE,positive,TRUE,positive,TRUE,positive,TRUE
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,negative,TRUE,negative,TRUE,negative,TRUE,negative,TRUE
happy bday!,positive,positive,TRUE,positive,TRUE,positive,TRUE,positive,TRUE
http://twitpic.com/4w75p - I like it!!,positive,positive,TRUE,positive,TRUE,positive,TRUE,positive,TRUE
that`s great!! weee!! visitors!,positive,positive,TRUE,positive,TRUE,positive,TRUE,positive,TRUE
I THINK EVERYONE HATES ME ON HERE   lol,negative,negative,TRUE,negative,TRUE,negative,TRUE,negative,TRUE
"soooooo wish i could, but im in school and myspace is completely blocked",negative,negative,TRUE,negative,TRUE,negative,TRUE,negative,TRUE
and within a short time of the last clue all of them,neutral,neutral,TRUE,neutral,TRUE,neutral,TRUE,neutral,TRUE
What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,neutral,TRUE,neutral,TRUE,neutral,TRUE,negative,FALSE
My bike was put on hold...should have known that.... argh total bummer,negative,negative,TRUE,negative,TRUE,negative,TRUE,neutral,FALSE
I checked.  We didn`t win,neutral,negative,FALSE,negative,FALSE,negative,FALSE,negative,FALSE
.. and you`re on twitter! Did the tavern bore you that much?,neutral,neutral,TRUE,neutral,TRUE,neutral,TRUE,negative,FALSE
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,negative,TRUE,negative,TRUE,negative,TRUE,neutral,FALSE
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,negative,TRUE,negative,TRUE,negative,TRUE,negative,TRUE
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,negative,TRUE,negative,TRUE,negative,TRUE,neutral,FALSE
Miss you,negative,negative,TRUE,negative,TRUE,negative,TRUE,neutral,FALSE
Cramps . . .,negative,negative,TRUE,negative,TRUE,negative,TRUE,negative,TRUE
you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,neutral,FALSE,neutral,FALSE,negative,FALSE,negative,FALSE
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,neutral,TRUE,negative,FALSE,negative,FALSE,negative,FALSE
Stupid storm. No river for us tonight,negative,negative,TRUE,negative,TRUE,negative,TRUE,neutral,FALSE
